gene_id,a.value,m.value,p.value,q.value,estimatedDEG,expression
GM42551,5.954035364605822,-0.5652140432243575,0.019639309766382843,0.3733444641303523,0,cko-high
R3HCC1,7.866400006688138,0.40530007360776743,0.019658135545065552,0.37351445878286443,0,cko-low
KCNS1,3.2689406966415078,1.3004896699973552,0.019684871156302356,0.37358924337994487,0,cko-low
ZBTB6,8.111602417064534,-0.3499020150875305,0.019686926064674832,0.37358924337994487,0,cko-high
UQCRH-PS1,6.0299157484539485,0.6424723791217799,0.019691727688739682,0.37358924337994487,0,cko-low
RPS21,9.198756404155308,0.40789231264919223,0.019734524353718478,0.3742133188036772,0,cko-low
NUB1,9.293971649810556,0.2781246053461288,0.019744818988901902,0.3742207618999903,0,cko-low
PHYHIPL,9.260403611438932,0.265948066499357,0.019797146043410725,0.3750244327180843,0,cko-low
GM10054,6.981381346841027,0.47226219143324677,0.019852282500275868,0.3758804911074276,0,cko-low
NDUFA4,11.000656683024499,0.2851529598983227,0.01986408734132771,0.37591566790358377,0,cko-low
MIR6399,0.41661260294050584,-3.224852814382025,0.019885457899962093,0.3761317442219056,0,cko-high
TAGLN,6.517791892997079,0.4505579138550182,0.01992680951991222,0.3764876359586657,0,cko-low
GM8525,2.2964194384987797,1.8437900633139241,0.01992727207266062,0.3764876359586657,0,cko-low
"NAPB",6.898053820908679,-0.4125325510542446,0.019940264478870387,0.3764876359586657,0,cko-high
4930512B01RIK,6.527922471455353,0.5080053705801681,0.019948624571928524,0.3764876359586657,0,cko-low
HEBP1,9.177319300842914,-0.2773626010252279,0.019956676245511652,0.3764876359586657,0,cko-high
YPEL2,8.597446564466477,-0.3322261572923253,0.019964045894929245,0.3764876359586657,0,cko-high
GM15452,5.100748131765096,0.8692999534697305,0.019980829550973328,0.37661621465854567,0,cko-low
DUSP3,10.188237914911017,0.2488233147304424,0.020004326117247166,0.37687113291276414,0,cko-low
DDC,10.010211386996634,0.3627788730927417,0.020026214505866814,0.37709551500035804,0,cko-low
EGR1,7.907846217703435,-0.797112756779498,0.020038818907105717,0.37714494229947176,0,cko-high
GM45416,3.2810038104751893,-1.4102212608612708,0.020049037124033886,0.37714943304703263,0,cko-high
KIF27,5.589564093579497,0.6370476090268928,0.020072554814392216,0.37740397589328883,0,cko-low
PRPF39,9.553306604144034,-0.2716796714681067,0.020089941198419833,0.37744348113157444,0,cko-high
GSTZ1,11.376329060674895,0.31356568322794054,0.020094630716467183,0.37744348113157444,0,cko-low
FAM102A,10.90650036859341,0.36388840875531514,0.020119109249381366,0.3776325143083282,0,cko-low
GM24276,4.853665599495738,0.712173882536077,0.020124679398205256,0.3776325143083282,0,cko-low
GM4824,7.9804834886306875,0.4626605484015327,0.02015340420476906,0.37781975063483125,0,cko-low
GM31992,3.6121440981666697,1.278483696942149,0.02016110291970554,0.37781975063483125,0,cko-low
